DATE,Price,Mrate,CPI,Days,Lumber,CPInumber,Permits
5/1/2022,190,5.2300000000000000,8.533,29,394.751,291.359,22539.09243
6/1/2022,193,5.5220000000000000,8.98974,29,318.471,294.996,23423.24072
7/1/2022,193,5.4125000000000000,8.44982,32,319.231,294.977,22812.27185
8/1/2022,190,5.2225000000000000,8.21881,39,307.332,295.209,19387.235187438302
9/1/2022,189,6.1120000000000000,8.19827,47,292.178,296.341,21245.02765
10/1/2022,187,6.9000000000000000,7.75194,51,282.917,297.863,20584.70046
11/1/2022,185,6.8050000000000000,7.11947,55,276.495,298.648,18186.591456206297
12/1/2022,183,6.3640000000000000,6.4115,65,264.42,298.812,17325.71966
1/1/2023,182,6.2725000000000000,6.36212,71,263.388,300.356,16920.321158166298
2/1/2023,183,6.2575000000000000,5.96552,65,266.869,301.509,18935.457510033502
3/1/2023,185,6.5440000000000000,4.93509,52,263.853,301.744,17484.5278
4/1/2023,188,6.3425000000000000,4.94106,47,261.22,303.032,16453.34472
5/1/2023,190,6.4250000000000000,4.12069,45,261.417,303.365,21512.67228
6/1/2023,191,6.7140000000000000,3.05326,45,257.664,304.003,18243.13817
7/1/2023,190,6.8400000000000000,3.27178,45,272.345,304.628,18026.96411
8/1/2023,189,7.0720000000000000,3.71872,49,255.709,306.187,20046.172562668402
9/1/2023,188,7.2000000000000000,3.69406,51,256.492,307.288,18528.44061
10/1/2023,187,7.6200000000000000,3.24579,54,246.437,307.531,20034.7561
11/1/2023,186,7.4420000000000000,3.13948,58,240.351,308.024,18239.00609
12/1/2023,185,6.8150000000000000,3.32316,65,244.854,308.742,15817.317
1/1/2024,184,6.6425000000000000,3.10598,71,246.353,309.685,19534.47026
2/1/2024,185,6.7760000000000000,3.16574,61,249.562,311.054,18623.22585
3/1/2024,187,6.8200000000000000,3.47513,50,254.731,312.23,17316.73165
